Store code,Taxi Rank Name - English,District/Community - English,Taxi Rank Name - Arabic,District/Community - Arabic,Latitude,Longitude,Primary category
TXR_030,RTA Taxi Rank Emirates Hills Second (Emaar Buildings) Emaar Business Park Buildings,Emirates Hills Second ,مواقف مركبات الأجرة تلال الإمارات الثانية (مباني إعمار) مباني إعمار بزنس بارك,تلال الإمارات الثانية,25.095254,55.166918,Taxi stand
TXR_031,RTA Taxi Rank Arabian Ranches Community Center,Arabian Ranches,"مواقف مركبات الأجرة المرابع ، مركز المرابع العربية",المرابع العربية,25.05711,55.271085,Taxi stand
TXR_032,RTA Taxi Rank Al Barsha Mall ,Al Barsha 2,مواقف مركبات الأجرة البرشاء مول,البرشاء 2,25.098519,55.205362,Taxi stand
TXR_033,RTA Taxi Rank Al Reef Mall ,Al Reef Mall ,مواقف مركبات الأجرة الريف مول,الريف مول,25.270147,55.322401,Taxi stand
TXR_034,RTA Taxi Rank Al Mamzar Park ,Al Mamzar Park ,مواقف مركبات الأجرة حديقة الممزر,حديقة الممزر,25.317703,55.347751,Taxi stand
TXR_035,RTA Taxi Rank Madina Mall ,Madina Mall ,مواقف مركبات الأجرة مدينة مول,مدينة مول,25.281958,55.39761,Taxi stand
TXR_036,RTA Taxi Rank Opp. Amwaj Rotana ,Dubai Marina,مواقف مركبات الأجرة مقابل أمواج روتانا,مرسى دبي,25.073294,55.130559,Taxi stand
TXR_037,RTA Taxi Rank Sofitel,Dubai Marina,مواقف مركبات الأجرة سوفيتيل,مرسى دبي,25.075571,55.131841,Taxi stand
TXR_038,RTA Taxi Rank Opp. Le Royal Meridien ,Dubai Marina,مواقف مركبات الأجرة مقابل لو رويال ميريديان,مرسى دبي,25.090815,55.147777,Taxi stand
TXR_039,RTA Taxi Rank Opp. Al Habtoor Grand Hotel,Dubai Marina,مواقف مركبات الأجرة مقابل فندق الحبتور جراند,مرسى دبي,25.085849,55.14174,Taxi stand
TXR_040,RTA Taxi Rank Opp. Grand Residence A,Dubai Marina,مواقف مركبات الأجرة مقابل جراند ريزيدانس أ,مرسى دبي,25.083523,55.140719,Taxi stand
TXR_041,RTA Taxi Rank Opp. Grand Residence B,Dubai Marina,مواقف مركبات الأجرة مقابل جراند ريزيدانس ب,مرسى دبي,25.083249,55.140057,Taxi stand
TXR_042,RTA Taxi Rank Opp. Sukoon Tower,Dubai Marina,مواقف مركبات الأجرة مقابل برج سوكون,مرسى دبي,25.078832,55.144072,Taxi stand
TXR_043,RTA Taxi Rank Opp. Tram Number 6 ,Dubai Marina,مواقف مركبات الأجرة مقابل الترام رقم 6,مرسى دبي,25.086546,55.149696,Taxi stand
TXR_044,"RTA Taxi Rank Qusais, Lulu Hypermarket",Qusais,"مواقف مركبات الأجرة القصيص ، لولو هايبر ماركت",القصيص,25.279075,55.361808,Taxi stand
TXR_045,"RTA Taxi Rank Jumeirah Road, Wild Wadi",Umm Suqeim - 3,"مواقف مركبات الأجرة طريق جميرا ، وايلد وادي",أم سقيم - 3,25.138518,55.189277,Taxi stand
TXR_046,RTA Taxi Rank Mall Of Emirates,Al Barsha 1,مواقف مركبات الأجرة مول الامارات,البرشاء 1,25.118107,55.200608,Taxi stand
TXR_047,RTA Taxi Rank Burjman Centre A,Al Mankhool ,مواقف مركبات الأجرة مركز برجمان أ,المنخول,25.252189,55.302387,Taxi stand
TXR_048,RTA Taxi Rank City Centre Deira,Port Saeed,مواقف مركبات الأجرة سيتي سنتر ديرة,ميناء سعيد,25.250858,55.332997,Taxi stand
TXR_049,RTA Taxi Rank Festival City Mall,Al Kheeran,مواقف مركبات الأجرة فستيفال سيتي مول,الخيران,25.224273,55.351796,Taxi stand
TXR_050,RTA Taxi Rank Dubai Marina Mall,Dubai Marina,مواقف مركبات الأجرة دبي مارينا مول,مرسى دبي,25.07643,55.140504,Taxi stand
TXR_051,RTA Taxi Rank Dubai Mall,Burj Khalifa,مواقف مركبات الأجرة مول دبي,برج خليفة,25.197642,55.27871,Taxi stand
TXR_052,RTA Taxi Rank Dragon Mart,Warsan 2,مواقف مركبات الأجرة سوق التنين,ورسان 2,25.17376,55.413906,Taxi stand
TXR_053,RTA Taxi Rank City Centre Me'aisem,Me'Aisem First,مواقف مركبات الأجرة سيتي سنتر معيصم,معيصم 1,25.039963,55.197361,Taxi stand
TXR_054,RTA Taxi Rank Mercato Shopping Centre,Jumeriah First,مواقف مركبات الأجرة مركز تسوق ميركاتو,جميرا 1,25.217066,55.252515,Taxi stand
TXR_055,RTA Taxi Rank City Centre Mirdif,Mirdif,مواقف مركبات الأجرة سيتي سنتر مردف,مردف,25.215272,55.409446,Taxi stand
TXR_056,RTA Taxi Rank Bin Sougat Shopping Centre,Rashidiya,مواقف مركبات الأجرة مركز بن سوقات للتسوق,الراشدية,25.232951,55.385168,Taxi stand
TXR_057,RTA Taxi Rank Ibn Batutta Mall Metro Station,Jabal Ali First,مواقف مركبات الأجرة محطة مترو ابن بطوطة مول,جبل علي الاول,25.045643,55.117669,Taxi stand
TXR_058,RTA Taxi Rank Wafi Mall,Umm Hurair 2,مواقف مركبات الأجرة وافي مول,أم هرير 2,25.229532,55.319248,Taxi stand
TXR_059,RTA Taxi Rank Dubai Outlet Village,Saih Shuaib 1,مواقف مركبات الأجرة دبي اوت لت فيليدج,سيح شعيب 1,24.914563,55.011472,Taxi stand
